Geneid,transcript_id,transcript_symbol,gene_symbol,rGAL4_lnRi_0.7_1,rGAL4_lnRi_0.7_2,rGAL4_lnRi_0.7_3,log2FoldChange,padj,DA
FBgn0030345,FBtr0330413;FBtr0479842;FBtr0073567;FBtr0073567;FBtr0330413;FBtr0479842;FBtr0073567;FBtr0330413;FBtr0479842,CG1847-RC;CG1847-RD;CG1847-RA;CG1847-RA;CG1847-RC;CG1847-RD;CG1847-RA;CG1847-RC;CG1847-RD,CG1847,27,29,18,-0.486971545,0.520265329,0
FBgn0038761,FBtr0307346,CG17190-RB,CG17190,11,10,8,-0.679782118,0.520603702,0
FBgn0034709,FBtr0071784;FBtr0071785;FBtr0071785;FBtr0071784;FBtr0071785;FBtr0071784;FBtr0071785;FBtr0071784,Swim-RB;Swim-RA;Swim-RA;Swim-RB;Swim-RA;Swim-RB;Swim-RA;Swim-RB,Swim,65,48,53,0.389017606,0.520756556,0
FBgn0040324,FBtr0089077;FBtr0089076;FBtr0089075;FBtr0089077;FBtr0089076;FBtr0089075;FBtr0089077;FBtr0089075;FBtr0089076;FBtr0089076;FBtr0089077;FBtr0089075;FBtr0089077;FBtr0089076;FBtr0089075,Ephrin-RC;Ephrin-RB;Ephrin-RA;Ephrin-RC;Ephrin-RB;Ephrin-RA;Ephrin-RC;Ephrin-RA;Ephrin-RB;Ephrin-RB;Ephrin-RC;Ephrin-RA;Ephrin-RC;Ephrin-RB;Ephrin-RA,Ephrin,253,192,132,0.287180367,0.520756556,0
FBgn0030571,FBtr0339460;FBtr0303288;FBtr0073932;FBtr0073930;FBtr0339460;FBtr0073930;FBtr0303288;FBtr0339460;FBtr0303288;FBtr0073930;FBtr0073932;FBtr0339460;FBtr0073930;FBtr0303288;FBtr0073932;FBtr0339460;FBtr0073930;FBtr0303288;FBtr0073932,CG14414-RE;CG14414-RD;CG14414-RC;CG14414-RA;CG14414-RE;CG14414-RA;CG14414-RD;CG14414-RE;CG14414-RD;CG14414-RA;CG14414-RC;CG14414-RE;CG14414-RA;CG14414-RD;CG14414-RC;CG14414-RE;CG14414-RA;CG14414-RD;CG14414-RC,CG14414,15,19,17,0.661016801,0.520756556,0
FBgn0035876,FBtr0076602,Pex2-RA,Pex2,53,39,15,0.49413874,0.520756556,0
FBgn0052686,FBtr0071468;FBtr0071467;FBtr0071467,CG32686-RB;CG32686-RA;CG32686-RA,CG32686,7,12,3,-0.80277699,0.521146,0
FBgn0039936,FBtr0300886;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300886;FBtr0300885;FBtr0300884;FBtr0300882;FBtr0300885;FBtr0300884;FBtr0300886;FBtr0300882,Gyf-RH;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RH;Gyf-RG;Gyf-RF;Gyf-RD;Gyf-RG;Gyf-RF;Gyf-RH;Gyf-RD,Gyf,636,487,326,0.237455066,0.521146,0
FBgn0287182,FBtr0113748;FBtr0113748;FBtr0334934;FBtr0334934;FBtr0113748;FBtr0334934;FBtr0113748,l(3)80Fj-RA;l(3)80Fj-RA;l(3)80Fj-RG;l(3)80Fj-RG;l(3)80Fj-RA;l(3)80Fj-RG;l(3)80Fj-RA,l(3)80Fj,882,575,390,0.233812826,0.521146,0
FBgn0011570,FBtr0077881;FBtr0331630;FBtr0077881;FBtr0331630,cpb-RA;cpb-RB;cpb-RA;cpb-RB,cpb,335,291,171,0.261351705,0.521146,0
